id,sex,year,t0,t1,t2,t3,t4,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11482036,0,2015,0.48330,0.34973,0.08473,0.07176,0.01047,2,2,0.48330,1,3,1,10.0,,,93.0,0,0,87,0.0,
11483624,1,2015,0.00981,0.06325,0.34352,0.00972,0.57370,2,2,0.57370,1,3,1,60.0,32.0,,94.0,0,0,90,14.0,
11484512,1,2015,0.08135,0.72320,0.01082,0.17390,0.01073,2,1,0.72320,1,3,1,50.0,26.0,,93.0,0,0,80,,
11495303,1,2015,0.00977,0.59727,0.07891,0.00971,0.30434,2,2,0.59727,1,3,1,80.0,26.0,5.0,,0,0,84,7.0,
11519970,0,2015,0.23976,0.00938,0.00933,0.73182,0.00971,2,1,0.73182,1,3,1,70.0,,,93.0,0,0,81,43.0,
11521799,0,2015,0.00694,0.18204,0.09061,0.36056,0.35986,3,2,0.36056,1,3,1,40.0,,,94.0,0,0,86,91.0,
11557901,0,2015,0.74916,0.00899,0.17657,0.00896,0.05632,2,1,0.74916,1,3,1,80.0,,,93.0,0,0,82,23.0,
11562218,1,2015,0.44069,0.01281,0.01263,0.43772,0.09615,2,2,0.44069,1,3,1,70.0,25.0,,92.0,0,0,73,4.0,
11567348,0,2015,0.01116,0.79162,0.17559,0.01061,0.01102,2,1,0.79162,1,3,1,90.0,,,93.0,0,0,78,50.0,
11576177,1,2015,0.84158,0.00935,0.00931,0.00932,0.13045,2,1,0.84158,1,3,1,60.0,23.0,,93.0,0,0,84,0.0,
11576934,1,2015,0.16752,0.38280,0.01543,0.01552,0.41874,3,2,0.41874,1,3,1,70.0,22.0,,92.0,0,0,80,9.0,
11577163,1,2015,0.06187,0.12679,0.00847,0.79444,0.00843,2,1,0.79444,1,3,1,80.0,28.0,,93.0,0,0,81,8.0,
11584980,1,2015,0.19895,0.10544,0.52059,0.16496,0.01005,4,1,0.52059,1,3,1,70.0,25.0,,94.0,0,0,81,,
11589674,1,2015,0.00921,0.07861,0.84465,0.05817,0.00937,1,1,0.84465,1,3,1,80.0,23.0,5.0,,0,0,80,36.0,
11595300,1,2015,0.02056,0.30487,0.63439,0.02014,0.02004,2,2,0.63439,1,3,1,60.0,23.0,,93.0,0,0,82,5.0,
11595436,0,2015,0.00821,0.00805,0.17725,0.58979,0.21671,3,1,0.58979,1,3,1,70.0,,,94.0,0,0,86,,
11597681,0,2015,0.00622,0.07981,0.09580,0.05308,0.76508,1,1,0.76508,1,3,1,90.0,,,93.0,0,0,87,,
11600851,1,2015,0.01686,0.01684,0.01687,0.01685,0.93258,1,1,0.93258,1,3,1,60.0,26.0,,93.0,0,0,80,11.0,
11601309,1,2015,0.25109,0.08730,0.08439,0.01023,0.56700,2,1,0.56700,1,3,1,90.0,27.0,,93.0,0,0,71,0.0,
11601644,1,2015,0.13419,0.01676,0.01672,0.51975,0.31258,3,2,0.51975,1,3,1,60.0,20.0,,92.0,0,0,84,7.0,
11659729,1,2015,0.65436,0.04352,0.00674,0.00699,0.28840,2,1,0.65436,1,3,1,80.0,34.0,,94.0,0,0,86,,
11664293,1,2015,0.41688,0.29660,0.09285,0.00732,0.18636,3,1,0.41688,1,3,0,40.0,25.0,,94.0,0,0,0,20.0,
