id, t0, t1, t2, t3, t4, t5, t6, t7, t8, t9, Officer, DAPAR, TZADAK, MAVDAK1, MAVDAK2, COMPLETED, EXCEL, GRADE, SOCIO_TIRONUT, SOCIO_PIKUD
11531836, 0.004, 0.146, 0.396, 0.004, 0.004, 0.004, 0.111, 0.004, 0.004, 0.325, 70.0, 25.0, 7.0, , 1, 0, 73.0, 9.0, 56.0
11556347, 0.003, 0.317, 0.003, 0.003, 0.003, 0.003, 0.489, 0.174, 0.003, 0.003, 80.0, 34.0, , 94.0, 1, 1, 87.0, 5.0, 
11587558, 0.061, 0.006, 0.006, 0.061, 0.006, 0.006, 0.006, 0.006, 0.728, 0.117, 70.0, 26.0, 6.0, , 1, 0, 86.0, 0.0, 20.0
11781920, 0.028, 0.003, 0.669, 0.079, 0.003, 0.003, 0.003, 0.003, 0.131, 0.079, 50.0, 32.0, 6.0, , 1, 0, 83.0, , 82.0
11783220, 0.004, 0.048, 0.004, 0.178, 0.135, 0.439, 0.004, 0.178, 0.004, 0.004, 40.0, 22.0, 3.0, , 1, 0, 72.0, 18.0, 7.0
11783427, 0.066, 0.253, 0.253, 0.003, 0.003, 0.159, 0.159, 0.003, 0.034, 0.066, 60.0, 30.0, 4.0, , 1, 0, 90.0, 44.0, 87.0
11783744, 0.007, 0.007, 0.007, 0.007, 0.007, 0.607, 0.207, 0.007, 0.007, 0.140, 70.0, 34.0, 5.0, , 1, 0, 81.0, 60.0, 50.0
11783776, 0.004, 0.004, 0.048, 0.004, 0.222, 0.004, 0.352, 0.004, 0.309, 0.048, 70.0, 27.0, 6.0, , 1, 0, 89.0, 29.0, 87.0
11783844, 0.003, 0.003, 0.472, 0.003, 0.128, 0.159, 0.034, 0.003, 0.191, 0.003, 70.0, 30.0, 4.0, , 1, 0, 91.0, 89.0, 30.0
11784651, 0.003, 0.003, 0.003, 0.155, 0.003, 0.579, 0.003, 0.033, 0.215, 0.003, 60.0, 27.0, 5.0, , 1, 0, 69.0, 67.0, 20.0
11785198, 0.003, 0.266, 0.266, 0.003, 0.003, 0.003, 0.108, 0.003, 0.003, 0.345, 60.0, 33.0, 5.0, , 1, 0, 83.0, 4.0, 
11786185, 0.566, 0.003, 0.097, 0.191, 0.003, 0.003, 0.003, 0.128, 0.003, 0.003, 60.0, 32.0, , 94.0, 1, 0, 81.0, , 
11788051, 0.004, 0.004, 0.004, 0.189, 0.004, 0.670, 0.004, 0.115, 0.004, 0.004, 60.0, 28.0, 2.0, , 1, 0, 80.0, 50.0, 31.0
11788407, 0.006, 0.131, 0.006, 0.569, 0.256, 0.006, 0.006, 0.006, 0.006, 0.006, 60.0, 34.0, 5.0, , 1, 0, 85.0, 26.0, 50.0
11788886, 0.005, 0.005, 0.005, 0.005, 0.005, 0.368, 0.141, 0.368, 0.095, 0.005, 70.0, 32.0, 4.0, , 1, 0, 76.0, 43.0, 31.0
11788958, 0.387, 0.054, 0.362, 0.003, 0.003, 0.003, 0.003, 0.003, 0.156, 0.028, 80.0, 28.0, 3.0, , 0, 0, , 84.0, 25.0
11789566, 0.005, 0.005, 0.005, 0.005, 0.255, 0.005, 0.005, 0.355, 0.305, 0.055, 60.0, 35.0, 5.0, , 1, 0, 85.0, 28.0, 50.0
11789585, 0.029, 0.634, 0.003, 0.003, 0.003, 0.003, 0.292, 0.003, 0.029, 0.003, 60.0, 31.0, 6.0, , 1, 0, 85.0, 39.0, 82.0
11789587, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.888, 0.013, 60.0, 26.0, 4.0, , 1, 0, 86.0, 78.0, 95.0
11789905, 0.032, 0.003, 0.385, 0.003, 0.003, 0.032, 0.268, 0.003, 0.003, 0.268, 70.0, 27.0, 4.0, , 1, 0, 82.0, , 35.0
11789906, 0.044, 0.004, 0.004, 0.004, 0.284, 0.004, 0.004, 0.284, 0.004, 0.364, 60.0, 35.0, 6.0, , 1, 0, 74.0, 32.0, 59.0
11789919, 0.003, 0.091, 0.121, 0.062, 0.003, 0.003, 0.326, 0.121, 0.003, 0.268, 60.0, 33.0, 6.0, , 1, 0, 89.0, 50.0, 
11789922, 0.003, 0.003, 0.403, 0.470, 0.003, 0.003, 0.003, 0.003, 0.003, 0.103, 90.0, 35.0, 8.0, , 1, 0, 88.0, 25.0, 68.0
11789924, 0.004, 0.004, 0.004, 0.046, 0.004, 0.171, 0.004, 0.004, 0.088, 0.671, 70.0, 33.0, 5.0, , 1, 0, 87.0, , 43.0
11789931, 0.233, 0.011, 0.011, 0.233, 0.011, 0.011, 0.011, 0.011, 0.011, 0.456, 50.0, 33.0, 5.0, , 1, 0, 90.0, 58.0, 30.0
11842706, 0.003, 0.091, 0.003, 0.003, 0.003, 0.062, 0.003, 0.003, 0.326, 0.503, 50.0, 34.0, 6.0, , 1, 1, 92.0, 61.0, 78.0
