Size: 454
quality) 193 (0.425)
appreciate) 130 (0.286)
know) 129 (0.284)
thing) 116 (0.256)
choose) 103 (0.227)
goal) 92 (0.203)
time) 91 (0.200)
value) 91 (0.200)
ability) 88 (0.194)
really_appreciate) 87 (0.192)
world) 86 (0.189)
leader) 82 (0.181)
trait) 82 (0.181)
give) 82 (0.181)
family) 82 (0.181)
make) 78 (0.172)
other) 78 (0.172)
many) 76 (0.167)
woman) 75 (0.165)
want) 73 (0.161)
eye) 73 (0.161)
learn) 72 (0.159)
get) 71 (0.156)
appreciate_qualitie) 70 (0.154)
go) 69 (0.152)
great) 68 (0.150)
addition) 68 (0.150)
much) 67 (0.148)
figure) 62 (0.137)
come) 61 (0.134)
take) 60 (0.132)
situation) 60 (0.132)
try) 60 (0.132)
well) 59 (0.130)
friend) 57 (0.126)
show) 57 (0.126)
dream) 57 (0.126)
country) 56 (0.123)
manage) 56 (0.123)
need) 55 (0.121)
care) 55 (0.121)
desire) 53 (0.117)
see) 52 (0.115)
work) 52 (0.115)
change) 52 (0.115)
difficulty) 51 (0.112)
order) 51 (0.112)
difficult) 51 (0.112)
environment) 50 (0.110)
year) 48 (0.106)
right) 48 (0.106)
lead) 47 (0.104)
fight) 47 (0.104)
look) 47 (0.104)
reach) 45 (0.099)
place) 44 (0.097)
strive) 44 (0.097)
hard) 44 (0.097)
commander) 43 (0.095)
succeed) 43 (0.095)
first) 42 (0.093)
achieve) 42 (0.093)
describe) 41 (0.090)
love) 41 (0.090)
strong) 39 (0.086)
live) 39 (0.086)
child) 39 (0.086)
really) 38 (0.084)
feel) 38 (0.084)
high) 38 (0.084)
act) 38 (0.084)
understand) 38 (0.084)
end) 37 (0.081)
believe) 37 (0.081)
leadership) 37 (0.081)
find) 36 (0.079)
soldier) 35 (0.077)
help) 35 (0.077)
stand) 35 (0.077)
stop) 35 (0.077)
respect) 35 (0.077)
contribute) 34 (0.075)
book) 34 (0.075)
deal) 34 (0.075)
success) 34 (0.075)
think) 33 (0.073)
officer) 33 (0.073)
continue) 33 (0.073)
professional) 33 (0.073)
optimistic) 32 (0.070)
state) 32 (0.070)
successful) 32 (0.070)
let) 32 (0.070)
fact) 32 (0.070)
still) 32 (0.070)
set) 31 (0.068)
seem) 31 (0.068)
story) 31 (0.068)
experience) 31 (0.068)
possible) 31 (0.068)
optimism) 30 (0.066)
influence) 30 (0.066)
course) 30 (0.066)
good) 30 (0.066)
today) 29 (0.064)
decision) 29 (0.064)
study) 29 (0.064)
say) 29 (0.064)
perseverance) 29 (0.064)
example) 29 (0.064)
mother) 29 (0.064)
able) 28 (0.062)
happy) 28 (0.062)
smart) 28 (0.062)
society) 28 (0.062)
bring) 27 (0.059)
feature) 27 (0.059)
field) 27 (0.059)
different) 27 (0.059)
thank) 26 (0.057)
responsibility) 26 (0.057)
self) 26 (0.057)
personal) 26 (0.057)
war) 25 (0.055)
task) 25 (0.055)
part) 25 (0.055)
series) 25 (0.055)
listen) 25 (0.055)
grow) 25 (0.055)
serve) 25 (0.055)
determination) 25 (0.055)
talk) 25 (0.055)
inspire) 25 (0.055)
human) 25 (0.055)
face) 24 (0.053)
company) 24 (0.053)
team) 24 (0.053)
become) 24 (0.053)
power) 24 (0.053)
