id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,Officer, DAPAR, TZADAK, MAVDAK1, MAVDAK2, REJECTED, EXCEL, GRADE, SOCIO_TIRONUT, SOCIO_PIKUD
11531836,0.67775,0.23596,0.00503,0.05428,0.00375,0.00333,0.00299,0.00272,0.00249,0.00230,0.00213,0.00199,0.00186,0.00175,0.00165,1,70.0,25.0,7.0,,0,0,73.0,9.0,56.0
11556347,0.33155,0.36975,0.21743,0.00430,0.00375,0.00333,0.00299,0.00272,0.00249,0.00230,0.00213,0.00199,0.05186,0.00175,0.00165,1,80.0,34.0,,94.0,0,1,87.0,5.0,
11587558,0.01273,0.51009,0.00839,0.24919,0.00626,0.18021,0.00499,0.00453,0.00415,0.00383,0.00355,0.00331,0.00310,0.00292,0.00276,1,70.0,26.0,6.0,,0,0,86.0,0.0,20.0
11781920,0.28469,0.12045,0.56008,0.00478,0.00418,0.00370,0.00333,0.00302,0.00277,0.00255,0.00237,0.00221,0.00207,0.00195,0.00184,1,50.0,32.0,6.0,,0,0,83.0,,82.0
11783220,0.00804,0.58532,0.00530,0.00453,0.00395,0.37193,0.00315,0.00286,0.00262,0.00242,0.00224,0.00209,0.00196,0.00184,0.00174,1,40.0,22.0,3.0,,0,0,72.0,18.0,7.0
11783427,0.13478,0.69384,0.06955,0.00539,0.00470,0.00417,0.00375,0.00341,0.00312,0.00288,0.00267,0.06514,0.00233,0.00219,0.00207,1,60.0,30.0,4.0,,0,0,90.0,44.0,87.0
11783744,0.01272,0.51177,0.00839,0.00717,0.00626,0.00555,0.41999,0.00453,0.00415,0.00383,0.00355,0.00331,0.00310,0.00292,0.00276,1,70.0,34.0,5.0,,0,0,81.0,60.0,50.0
11783776,0.92294,0.01105,0.00915,0.00782,0.00683,0.00606,0.00544,0.00494,0.00453,0.00417,0.00387,0.00361,0.00339,0.00319,0.00301,1,70.0,27.0,6.0,,0,0,89.0,29.0,87.0
11783844,0.14794,0.34219,0.00438,0.04720,0.00326,0.00290,0.00260,0.00236,0.00216,0.00200,0.00185,0.00173,0.43645,0.00152,0.00144,1,70.0,30.0,4.0,,0,0,91.0,89.0,30.0
11784651,0.00694,0.58179,0.06471,0.00391,0.00341,0.00303,0.00272,0.32059,0.00226,0.00209,0.00194,0.00181,0.00169,0.00159,0.00150,1,60.0,27.0,5.0,,0,0,69.0,67.0,20.0
11785198,0.79287,0.13829,0.00403,0.04322,0.00300,0.00267,0.00240,0.00218,0.00199,0.00184,0.00171,0.00159,0.00149,0.00140,0.00132,1,60.0,33.0,5.0,,0,0,83.0,4.0,
11786185,0.33919,0.23771,0.39589,0.00374,0.00327,0.00290,0.00260,0.00236,0.00217,0.00200,0.00185,0.00173,0.00162,0.00152,0.00144,1,60.0,32.0,,94.0,0,0,81.0,,
11788051,0.00849,0.50487,0.06290,0.00478,0.00417,0.00370,0.05888,0.00302,0.00277,0.00255,0.33582,0.00221,0.00207,0.00195,0.00184,1,60.0,28.0,2.0,,0,0,80.0,50.0,31.0
11788407,0.01273,0.34345,0.50836,0.00717,0.00626,0.00555,0.00499,0.00453,0.08749,0.00383,0.00355,0.00331,0.00310,0.00292,0.00276,1,60.0,34.0,5.0,,0,0,85.0,26.0,50.0
11788886,0.00962,0.94499,0.00629,0.00538,0.00469,0.00416,0.00374,0.00340,0.00311,0.00287,0.00266,0.00248,0.00233,0.00219,0.00207,1,70.0,32.0,4.0,,0,0,76.0,43.0,31.0
11788958,0.13209,0.54951,0.00559,0.00478,0.00417,0.00370,0.05890,0.00302,0.00276,0.00255,0.22487,0.00221,0.00207,0.00195,0.00184,0,80.0,28.0,3.0,,0,0,,84.0,25.0
