id,sex,year,t0,t1,t2,t3,t4,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11679526,1,2015,0.01348,0.01366,0.01335,0.01335,0.94616,1,1,0.94616,1,2,1,60.0,26.0,,93.0,0,0,75,0.0,
11679551,1,2015,0.01256,0.01254,0.28654,0.01347,0.67489,2,1,0.67489,1,2,1,60.0,24.0,,92.0,0,0,74,,
11786800,1,2015,0.01862,0.29409,0.01822,0.01833,0.65074,2,1,0.65074,1,2,1,60.0,25.0,4.0,,0,0,77,16.0,19.0
11788493,1,2015,0.30144,0.01134,0.01116,0.01112,0.66494,2,2,0.66494,1,2,1,70.0,34.0,6.0,,0,0,81,92.0,59.0
11789026,1,2015,0.00989,0.96135,0.00957,0.00960,0.00959,1,1,0.96135,1,2,1,60.0,33.0,4.0,,0,0,80,,
11789799,1,2015,0.01727,0.93229,0.01686,0.01667,0.01691,1,1,0.93229,1,2,1,60.0,33.0,5.0,,0,0,78,43.0,
11842960,1,2015,0.89055,0.08317,0.00870,0.00870,0.00888,1,1,0.89055,1,2,1,70.0,28.0,5.0,,0,0,78,47.0,
11843726,0,2015,0.17541,0.15238,0.09371,0.31201,0.26650,4,1,0.31201,1,2,0,60.0,,3.0,,0,0,0,18.0,
11844279,0,2015,0.01337,0.86380,0.01346,0.09592,0.01345,1,1,0.86380,1,2,1,60.0,,6.0,,0,0,75,,9.0
11844334,0,2015,0.26824,0.54575,0.01336,0.01348,0.15916,3,1,0.54575,1,2,1,50.0,,5.0,,0,0,85,70.0,78.0
11844485,1,2015,0.01115,0.01117,0.01113,0.01115,0.95539,1,1,0.95539,1,2,1,50.0,28.0,6.0,,0,0,84,6.0,8.0
11844524,1,2015,0.11266,0.83778,0.00615,0.03716,0.00625,2,1,0.83778,1,2,1,50.0,33.0,6.0,,0,0,80,63.0,
11845560,1,2015,0.83943,0.00675,0.00681,0.14022,0.00679,2,1,0.83943,1,2,1,60.0,26.0,4.0,,0,0,73,14.0,3.0
11846582,0,2015,0.01006,0.89240,0.01018,0.01006,0.07730,1,1,0.89240,1,2,1,60.0,,3.0,,0,0,79,13.0,
