id,sex,year,t0,t1,t2,t3,t4,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11571929,1,2015,0.00967,0.96122,0.00968,0.00974,0.00969,1,1,0.96122,0,0,0,80.0,21.0,,93.0,0,0,0,3.0,
11587879,1,2015,0.00959,0.16683,0.00953,0.34757,0.46647,3,2,0.46647,0,0,0,90.0,31.0,,94.0,0,0,0,7.0,
11605717,1,2015,0.01335,0.61539,0.01333,0.34429,0.01364,2,2,0.61539,0,0,0,30.0,25.0,,93.0,0,0,0,0.0,
11673049,0,2015,0.00775,0.00780,0.00787,0.49716,0.47941,2,2,0.49716,0,0,0,70.0,,,94.0,0,0,0,0.0,
11676721,1,2015,0.72162,0.17681,0.00748,0.00749,0.08659,2,1,0.72162,0,0,0,70.0,25.0,,94.0,0,0,0,,
11678446,0,2015,0.01003,0.01010,0.01005,0.95977,0.01006,1,1,0.95977,0,0,0,80.0,,,94.0,0,0,0,,
11679632,1,2015,0.01539,0.56738,0.01539,0.38575,0.01609,2,2,0.56738,0,0,0,60.0,25.0,,,1,0,0,31.0,
11782088,1,2015,0.33111,0.05715,0.00746,0.59652,0.00775,2,2,0.59652,0,0,0,90.0,33.0,,93.0,0,0,0,19.0,
11783106,1,2015,0.00809,0.00840,0.09378,0.09629,0.79344,1,1,0.79344,0,0,0,90.0,26.0,,93.0,0,0,0,,
11783171,1,2015,0.96819,0.00794,0.00774,0.00806,0.00807,1,1,0.96819,0,0,0,80.0,29.0,,94.0,0,0,0,22.0,
11783692,1,2015,0.01360,0.21651,0.01360,0.01369,0.74260,2,1,0.74260,0,0,0,90.0,24.0,,,1,0,0,6.0,
11784016,1,2015,0.06228,0.11034,0.00733,0.24536,0.57470,3,1,0.57470,0,0,0,70.0,32.0,2.0,,0,0,0,3.0,
11785168,0,2015,0.01051,0.43794,0.08256,0.11422,0.35477,3,2,0.43794,0,0,0,60.0,,,93.0,0,0,0,73.0,
11785293,1,2015,0.06207,0.29483,0.00798,0.51678,0.11834,3,1,0.51678,0,0,0,60.0,26.0,4.0,,0,0,0,,
11786118,0,2015,0.01681,0.01701,0.01667,0.76562,0.18390,2,1,0.76562,0,0,0,70.0,,,93.0,0,0,0,29.0,
11786597,1,2015,0.01345,0.01419,0.01409,0.32893,0.62935,2,2,0.62935,0,0,0,50.0,25.0,4.0,,0,0,0,0.0,
11787022,1,2015,0.02082,0.02089,0.02081,0.91646,0.02103,1,1,0.91646,0,0,0,60.0,33.0,,93.0,0,0,0,38.0,
11787463,1,2015,0.18966,0.01143,0.60214,0.18543,0.01134,3,1,0.60214,0,0,0,40.0,28.0,3.0,,0,0,0,72.0,65.0
11787831,0,2015,0.00911,0.56069,0.00921,0.41180,0.00919,2,2,0.56069,0,0,0,90.0,,,92.0,0,0,0,13.0,
11788668,1,2015,0.01841,0.62885,0.01832,0.18661,0.14782,3,1,0.62885,0,0,0,60.0,33.0,4.0,,0,0,0,15.0,0.0
11788841,1,2015,0.05850,0.35612,0.00756,0.45961,0.11821,3,2,0.45961,0,0,0,60.0,29.0,,93.0,0,0,0,27.0,
11789575,1,2015,0.39228,0.28589,0.08352,0.15376,0.08455,3,1,0.39228,0,0,0,50.0,31.0,,,1,0,0,,42.0
11789901,1,2015,0.01351,0.01347,0.01333,0.94635,0.01333,1,1,0.94635,0,0,0,60.0,35.0,5.0,,0,0,0,47.0,46.0
11789903,1,2015,0.01075,0.87795,0.01075,0.08981,0.01075,1,1,0.87795,0,0,0,60.0,33.0,2.0,,0,0,0,,0.0
11789934,1,2015,0.02225,0.02234,0.02222,0.91096,0.02222,1,1,0.91096,0,0,0,60.0,28.0,4.0,,0,0,0,,14.0
11790069,1,2015,0.01013,0.83486,0.01012,0.13458,0.01031,2,1,0.83486,0,0,0,80.0,31.0,,,1,0,0,,18.0
11843068,1,2015,0.09081,0.25299,0.44752,0.19610,0.01257,3,1,0.44752,0,0,0,60.0,31.0,5.0,,0,0,0,20.0,
11843163,1,2015,0.02516,0.35214,0.02501,0.57269,0.02501,2,2,0.57269,0,0,0,50.0,25.0,3.0,,0,0,0,5.0,7.0
11843465,1,2015,0.01192,0.65362,0.01178,0.31085,0.01183,2,2,0.65362,0,0,0,40.0,29.0,3.0,,0,0,0,27.0,8.0
11843542,1,2015,0.00965,0.00989,0.00961,0.96122,0.00963,1,1,0.96122,0,0,0,70.0,32.0,,,1,0,0,29.0,
11843718,1,2015,0.01819,0.13707,0.11482,0.71167,0.01824,3,1,0.71167,0,0,0,80.0,28.0,5.0,,0,0,0,50.0,53.0
11843782,1,2015,0.22834,0.09156,0.00675,0.59786,0.07549,2,1,0.59786,0,0,0,60.0,34.0,4.0,,0,0,0,69.0,69.0
11843827,0,2015,0.00702,0.33572,0.09726,0.33323,0.22677,3,2,0.33572,0,0,0,70.0,,6.0,,0,0,0,7.0,
11843988,0,2015,0.01001,0.30385,0.01004,0.16678,0.50931,3,2,0.50931,0,0,0,60.0,,4.0,,0,0,0,0.0,0.0
11844003,1,2015,0.00924,0.53987,0.00912,0.43262,0.00915,2,2,0.53987,0,0,0,60.0,34.0,3.0,,0,0,0,4.0,
11844276,0,2015,0.06139,0.71568,0.00727,0.12289,0.09277,2,1,0.71568,0,0,0,50.0,,4.0,,0,0,0,54.0,58.0
11844286,1,2015,0.12835,0.00768,0.00758,0.39845,0.45794,3,2,0.45794,0,0,0,70.0,30.0,,,1,0,0,,0.0
11844373,0,2015,0.00917,0.39620,0.40737,0.17777,0.00949,3,2,0.40737,0,0,0,70.0,,5.0,,0,0,0,5.0,
11844417,1,2015,0.05586,0.44094,0.00803,0.08939,0.40577,2,2,0.44094,0,0,0,80.0,30.0,4.0,,0,0,0,14.0,
11844440,1,2015,0.00913,0.24081,0.05549,0.68546,0.00911,2,1,0.68546,0,0,0,50.0,27.0,3.0,,0,0,0,60.0,
11845121,1,2015,0.01460,0.94168,0.01455,0.01455,0.01461,1,1,0.94168,0,0,0,60.0,28.0,4.0,,0,0,0,16.0,14.0
11845533,1,2015,0.00696,0.80067,0.07403,0.00694,0.11141,2,1,0.80067,0,0,0,70.0,26.0,,,1,0,0,21.0,
11845667,0,2015,0.01058,0.17067,0.01053,0.79770,0.01053,2,1,0.79770,0,0,0,60.0,,3.0,,0,0,0,5.0,3.0
11845736,1,2015,0.00715,0.00721,0.00716,0.87121,0.10728,2,1,0.87121,0,0,0,90.0,32.0,4.0,,0,0,0,8.0,
11845868,1,2015,0.01433,0.19767,0.01432,0.75938,0.01430,2,1,0.75938,0,0,0,50.0,30.0,3.0,,0,0,0,,20.0
11846004,0,2015,0.00953,0.00958,0.00954,0.58247,0.38889,2,2,0.58247,0,0,0,70.0,,4.0,,0,0,0,33.0,
11846200,0,2015,0.00809,0.70356,0.00808,0.17497,0.10530,3,1,0.70356,0,0,0,50.0,,4.0,,0,0,0,0.0,0.0
11846277,0,2015,0.00771,0.87801,0.00772,0.00783,0.09874,1,1,0.87801,0,0,0,80.0,,6.0,,0,0,0,0.0,
11846320,1,2015,0.00774,0.47755,0.44026,0.06674,0.00771,2,2,0.47755,0,0,0,90.0,27.0,4.0,,0,0,0,7.0,
11846591,1,2015,0.08745,0.19999,0.52554,0.00984,0.17719,3,1,0.52554,0,0,0,80.0,32.0,5.0,,0,0,0,92.0,
11846654,1,2015,0.00894,0.39024,0.42837,0.00902,0.16343,3,2,0.42837,0,0,0,80.0,28.0,3.0,,0,0,0,31.0,53.0
11846716,1,2015,0.01336,0.67738,0.01340,0.28234,0.01351,2,1,0.67738,0,0,0,60.0,28.0,2.0,,0,0,0,13.0,
11847073,1,2015,0.01556,0.42025,0.01542,0.53320,0.01557,2,2,0.53320,0,0,0,50.0,26.0,3.0,,0,0,0,6.0,0.0
11847204,1,2015,0.15191,0.81229,0.01177,0.01223,0.01180,2,1,0.81229,0,0,0,80.0,23.0,,,1,0,0,33.0,24.0
11847363,0,2015,0.07413,0.08300,0.43601,0.33316,0.07371,2,2,0.43601,0,0,0,60.0,,5.0,,0,0,0,38.0,
11847448,0,2015,0.01819,0.01825,0.01819,0.30410,0.64127,2,2,0.64127,0,0,0,60.0,,7.0,,0,0,0,47.0,0.0
11847530,1,2015,0.02861,0.02884,0.02858,0.88531,0.02866,1,1,0.88531,0,0,0,60.0,29.0,2.0,,0,0,0,29.0,33.0
11847782,1,2015,0.00777,0.00779,0.05022,0.92646,0.00776,1,1,0.92646,0,0,0,90.0,30.0,,,1,0,0,29.0,
11847791,1,2015,0.51482,0.12996,0.00914,0.15046,0.19562,4,1,0.51482,0,0,0,50.0,31.0,4.0,,0,0,0,21.0,27.0
11847808,1,2015,0.00961,0.00962,0.00956,0.50576,0.46545,2,2,0.50576,0,0,0,70.0,28.0,,,1,0,0,,38.0
11847981,1,2015,0.01009,0.87565,0.01054,0.01030,0.09343,1,1,0.87565,0,0,0,60.0,29.0,5.0,,0,0,0,,6.0
11848029,1,2015,0.01005,0.01018,0.01000,0.48404,0.48573,2,2,0.48573,0,0,0,80.0,26.0,5.0,,0,0,0,26.0,18.0
11848253,1,2015,0.16992,0.06121,0.04763,0.26211,0.45913,3,1,0.45913,0,0,0,70.0,26.0,3.0,,0,0,0,7.0,
11848309,0,2015,0.02224,0.02232,0.02222,0.91091,0.02231,1,1,0.91091,0,0,0,60.0,,2.0,,0,0,0,0.0,
11848745,1,2015,0.61890,0.00844,0.00860,0.22606,0.13800,3,1,0.61890,0,0,0,70.0,27.0,3.0,,0,0,0,7.0,0.0
11848774,0,2015,0.00794,0.08240,0.05281,0.78282,0.07404,1,1,0.78282,0,0,0,70.0,,,,1,0,0,22.0,
