Size: 1479
know) 374 (0.253)
appreciate) 322 (0.218)
choose) 303 (0.205)
want) 297 (0.201)
many) 254 (0.172)
give) 250 (0.169)
get) 205 (0.139)
go) 203 (0.137)
learn) 202 (0.137)
make) 201 (0.136)
great) 179 (0.121)
take) 176 (0.119)
come) 175 (0.118)
love) 162 (0.110)
care) 154 (0.104)
try) 151 (0.102)
see) 150 (0.101)
believe) 149 (0.101)
need) 148 (0.100)
help) 148 (0.100)
lead) 142 (0.096)
show) 137 (0.093)
difficult) 131 (0.089)
fight) 131 (0.089)
strong) 125 (0.085)
look) 123 (0.083)
achieve) 118 (0.080)
live) 117 (0.079)
much) 116 (0.078)
manage) 116 (0.078)
succeed) 114 (0.077)
continue) 107 (0.072)
high) 106 (0.072)
reach) 105 (0.071)
good) 104 (0.070)
work) 101 (0.068)
say) 101 (0.068)
strive) 99 (0.067)
feel) 95 (0.064)
think) 94 (0.064)
optimistic) 92 (0.062)
happy) 91 (0.062)
understand) 89 (0.060)
stand) 85 (0.057)
hard) 84 (0.057)
find) 83 (0.056)
successful) 81 (0.055)
bring) 80 (0.054)
really_appreciate) 80 (0.054)
personal) 79 (0.053)
inspire) 78 (0.053)
human) 77 (0.052)
smart) 75 (0.051)
able) 74 (0.050)
describe) 74 (0.050)
set) 74 (0.050)
seem) 73 (0.049)
first) 71 (0.048)
different) 70 (0.047)
professional) 69 (0.047)
develop) 68 (0.046)
become) 67 (0.045)
possible) 65 (0.044)
teach) 64 (0.043)
contribute) 62 (0.042)
act) 62 (0.042)
grow) 61 (0.041)
create) 61 (0.041)
right) 61 (0.041)
improve) 60 (0.041)
brave) 59 (0.040)
tell) 59 (0.040)
put) 59 (0.040)
new) 58 (0.039)
amazing) 58 (0.039)
decide) 58 (0.039)
serve) 57 (0.039)
imaginary) 57 (0.039)
start) 57 (0.039)
let) 57 (0.039)
well) 56 (0.038)
keep) 56 (0.038)
humble) 56 (0.038)
whole) 55 (0.037)
full) 53 (0.036)
receive) 53 (0.036)
big) 53 (0.036)
change) 52 (0.035)
true) 52 (0.035)
afraid) 52 (0.035)
responsible) 51 (0.034)
stop) 51 (0.034)
small) 50 (0.034)
prove) 49 (0.033)
accept) 49 (0.033)
simple) 48 (0.032)
speak) 48 (0.032)
write) 47 (0.032)
listen) 46 (0.031)
follow) 46 (0.031)
maintain) 46 (0.031)
social) 46 (0.031)
consider) 45 (0.030)
play) 44 (0.030)
hear) 44 (0.030)
express) 44 (0.030)
little) 44 (0.030)
bad) 44 (0.030)
main) 44 (0.030)
remain) 43 (0.029)
significant) 43 (0.029)
charismatic) 42 (0.028)
creative) 42 (0.028)
enjoy) 42 (0.028)
stay) 42 (0.028)
invest) 42 (0.028)
happen) 41 (0.028)
jewish) 41 (0.028)
value) 41 (0.028)
talk) 41 (0.028)
deal) 40 (0.027)
smile) 40 (0.027)
represent) 40 (0.027)
realistic) 40 (0.027)
young) 39 (0.026)
easy) 39 (0.026)
read) 39 (0.026)
use) 39 (0.026)
ask) 38 (0.026)
call) 38 (0.026)
establish) 38 (0.026)
lose) 38 (0.026)
sociable) 37 (0.025)
experience) 37 (0.025)
face) 37 (0.025)
run) 36 (0.024)
do) 36 (0.024)
educate) 36 (0.024)
willing) 36 (0.024)
raise) 36 (0.024)
special) 35 (0.024)
realize) 35 (0.024)
certain) 35 (0.024)
save) 35 (0.024)
study) 35 (0.024)
bear) 35 (0.024)
require) 35 (0.024)
promote) 35 (0.024)
last) 34 (0.023)
due) 34 (0.023)
allow) 34 (0.023)
respect) 34 (0.023)
leave) 33 (0.022)
connect) 33 (0.022)
move) 33 (0.022)
real) 33 (0.022)
sensitive) 33 (0.022)
open) 33 (0.022)
military) 33 (0.022)
name) 33 (0.022)
die) 33 (0.022)
begin) 33 (0.022)
israeli) 32 (0.022)
honest) 32 (0.022)
meet) 31 (0.021)
determine) 31 (0.021)
remember) 31 (0.021)
mean) 31 (0.021)
long) 30 (0.020)
entire) 30 (0.020)
perform) 30 (0.020)
light) 29 (0.020)
weak) 29 (0.020)
general) 29 (0.020)
loyal) 29 (0.020)
fall) 29 (0.020)
kill) 29 (0.020)
present) 29 (0.020)
end) 28 (0.019)
powerful) 28 (0.019)
turn) 28 (0.019)
affect) 28 (0.019)
front) 28 (0.019)
build) 28 (0.019)
fail) 27 (0.018)
trust) 27 (0.018)
characterize) 27 (0.018)
hurt) 26 (0.018)
close) 26 (0.018)
caring) 26 (0.018)
exist) 26 (0.018)
future) 24 (0.016)
poor) 24 (0.016)
pass) 24 (0.016)
seek) 24 (0.016)
walk) 24 (0.016)
assertive) 24 (0.016)
support) 24 (0.016)
greatly_appreciate) 23 (0.016)
late) 23 (0.016)
common) 23 (0.016)
hardworke) 23 (0.016)
huge) 23 (0.016)
break) 23 (0.016)
ambitious) 22 (0.015)
attentive) 22 (0.015)
pleasant) 22 (0.015)
impressive) 22 (0.015)
sacrifice) 22 (0.015)
modest) 22 (0.015)
treat) 22 (0.015)
united_state) 22 (0.015)
second) 22 (0.015)
