Size: 2728
know) 626 (0.229)
choose) 520 (0.191)
quality) 388 (0.142)
other) 351 (0.129)
thing) 318 (0.117)
care) 287 (0.105)
trait) 274 (0.100)
want) 271 (0.099)
give) 252 (0.092)
ability) 248 (0.091)
believe) 244 (0.089)
leader) 234 (0.086)
love) 219 (0.080)
time) 214 (0.078)
go) 212 (0.078)
strong) 210 (0.077)
figure) 201 (0.074)
try) 197 (0.072)
need) 196 (0.072)
many) 195 (0.071)
family) 194 (0.071)
value) 192 (0.070)
friend) 188 (0.069)
get) 179 (0.066)
take) 177 (0.065)
learn) 177 (0.065)
fight) 176 (0.065)
well) 171 (0.063)
situation) 168 (0.062)
great) 165 (0.060)
change) 165 (0.060)
woman) 164 (0.060)
mother) 164 (0.060)
help) 162 (0.059)
lead) 158 (0.058)
world) 157 (0.058)
see) 155 (0.057)
country) 150 (0.055)
say) 147 (0.054)
look) 144 (0.053)
smart) 144 (0.053)
goal) 140 (0.051)
respect) 139 (0.051)
child) 139 (0.051)
eye) 133 (0.049)
live) 132 (0.048)
seem) 128 (0.047)
come) 126 (0.046)
make) 125 (0.046)
think) 124 (0.045)
desire) 124 (0.045)
show) 124 (0.045)
end) 123 (0.045)
succeed) 120 (0.044)
first) 120 (0.044)
much) 120 (0.044)
manage) 119 (0.044)
strive) 118 (0.043)
afraid) 118 (0.043)
environment) 117 (0.043)
act) 116 (0.043)
happy) 115 (0.042)
state) 114 (0.042)
optimistic) 113 (0.041)
difficult) 113 (0.041)
responsible) 113 (0.041)
high) 112 (0.041)
good) 112 (0.041)
addition) 106 (0.039)
right) 106 (0.039)
really) 105 (0.038)
work) 99 (0.036)
society) 99 (0.036)
soldier) 98 (0.036)
find) 97 (0.036)
leadership) 97 (0.036)
place) 96 (0.035)
hard) 95 (0.035)
imaginary) 95 (0.035)
smile) 94 (0.034)
father) 92 (0.034)
understand) 92 (0.034)
achieve) 92 (0.034)
charismatic) 92 (0.034)
commander) 91 (0.033)
stand) 90 (0.033)
humble) 90 (0.033)
contribute) 90 (0.033)
influence) 89 (0.033)
matter) 89 (0.033)
example) 88 (0.032)
sociable) 82 (0.030)
peace) 82 (0.030)
listen) 82 (0.030)
appreciate) 79 (0.029)
year) 79 (0.029)
feature) 78 (0.029)
realistic) 78 (0.029)
continue) 77 (0.028)
accept) 74 (0.027)
invest) 74 (0.027)
never) 73 (0.027)
power) 72 (0.026)
professional) 72 (0.026)
honest) 71 (0.026)
book) 71 (0.026)
whole) 71 (0.026)
decision) 70 (0.026)
responsibility) 70 (0.026)
reach) 70 (0.026)
human) 70 (0.026)
talk) 69 (0.025)
follow) 68 (0.025)
name) 67 (0.025)
charisma) 66 (0.024)
action) 65 (0.024)
courage) 65 (0.024)
set) 65 (0.024)
different) 64 (0.023)
speak) 64 (0.023)
decide) 64 (0.023)
king) 64 (0.023)
order) 64 (0.023)
able) 64 (0.023)
teach) 64 (0.023)
opinion) 61 (0.022)
support) 61 (0.022)
story) 61 (0.022)
girl) 60 (0.022)
day) 60 (0.022)
educate) 60 (0.022)
amazing) 60 (0.022)
personal) 60 (0.022)
willing) 59 (0.022)
war) 59 (0.022)
trust) 59 (0.022)
save) 58 (0.021)
vision) 58 (0.021)
use) 58 (0.021)
feel) 57 (0.021)
bad) 57 (0.021)
connect) 57 (0.021)
social) 57 (0.021)
gurion) 57 (0.021)
problem) 56 (0.021)
tell) 56 (0.021)
describe) 56 (0.021)
successful) 56 (0.021)
leave) 56 (0.021)
field) 56 (0.021)
face) 55 (0.020)
today) 55 (0.020)
dream) 55 (0.020)
sacrifice) 55 (0.020)
sweep) 55 (0.020)
put) 55 (0.020)
consider) 55 (0.020)
express) 54 (0.020)
faith) 54 (0.020)
assertive) 53 (0.019)
true) 53 (0.019)
moment) 52 (0.019)
funny) 52 (0.019)
company) 52 (0.019)
grandfather) 52 (0.019)
deal) 51 (0.019)
age) 51 (0.019)
brave) 51 (0.019)
yitzhak_rabin) 51 (0.019)
full) 51 (0.019)
bring) 51 (0.019)
serve) 51 (0.019)
difficulty) 50 (0.018)
knowledge) 50 (0.018)
serious) 50 (0.018)
movie) 50 (0.018)
army) 50 (0.018)
herzl) 49 (0.018)
creative) 49 (0.018)
head) 49 (0.018)
considerate) 49 (0.018)
wisdom) 49 (0.018)
home) 49 (0.018)
still) 49 (0.018)
sensitive) 48 (0.018)
side) 48 (0.018)
principle) 48 (0.018)
calm) 48 (0.018)
success) 48 (0.018)
hand) 47 (0.017)
ambitious) 47 (0.017)
caring) 47 (0.017)
job) 47 (0.017)
start) 46 (0.017)
let) 46 (0.017)
fact) 46 (0.017)
admire) 46 (0.017)
brother) 45 (0.016)
really_appreciate) 45 (0.016)
possible) 45 (0.016)
officer) 45 (0.016)
ask) 44 (0.016)
confidence) 44 (0.016)
move) 44 (0.016)
optimism) 44 (0.016)
heart) 44 (0.016)
call) 43 (0.016)
shimon_pere) 43 (0.016)
determination) 43 (0.016)
happen) 42 (0.015)
traits_seem) 42 (0.015)
become) 42 (0.015)
mission) 42 (0.015)
jewish) 42 (0.015)
like) 42 (0.015)
play) 42 (0.015)
entire) 42 (0.015)
little) 42 (0.015)
develop) 42 (0.015)
experience) 41 (0.015)
stay) 41 (0.015)
stop) 41 (0.015)
front) 41 (0.015)
menachem_begin) 41 (0.015)
maintain) 41 (0.015)
accord) 40 (0.015)
meet) 40 (0.015)
create) 40 (0.015)
main) 40 (0.015)
sometimes) 40 (0.015)
education) 40 (0.015)
team) 40 (0.015)
purpose) 40 (0.015)
joy) 40 (0.015)
reality) 39 (0.014)
course) 39 (0.014)
choice) 39 (0.014)
write) 39 (0.014)
do) 39 (0.014)
self) 39 (0.014)
teacher) 39 (0.014)
improve) 38 (0.014)
hear) 38 (0.014)
open) 38 (0.014)
though) 38 (0.014)
command) 38 (0.014)
risk) 38 (0.014)
realize) 38 (0.014)
modesty) 38 (0.014)
kind) 38 (0.014)
military) 38 (0.014)
part) 37 (0.014)
perseverance) 37 (0.014)
belief) 37 (0.014)
receive) 37 (0.014)
character) 37 (0.014)
