Size: 804
character) 487 (0.606)
person) 355 (0.442)
know) 272 (0.338)
always) 272 (0.338)
people) 212 (0.264)
give) 208 (0.259)
choose) 185 (0.230)
help) 181 (0.225)
positive) 174 (0.216)
life) 158 (0.197)
good) 151 (0.188)
man) 137 (0.170)
think) 132 (0.164)
even) 131 (0.163)
also) 124 (0.154)
see) 120 (0.149)
love) 117 (0.146)
other) 109 (0.136)
thing) 108 (0.134)
character_trait) 108 (0.134)
way) 100 (0.124)
go) 99 (0.123)
quality) 95 (0.118)
ability) 94 (0.117)
care) 94 (0.117)
opinion) 89 (0.111)
time) 89 (0.111)
believe) 87 (0.108)
work) 87 (0.108)
figure) 87 (0.108)
make) 86 (0.107)
take) 82 (0.102)
child) 79 (0.098)
important) 79 (0.098)
lot) 77 (0.096)
want) 77 (0.096)
get) 76 (0.095)
many) 73 (0.091)
strong) 72 (0.090)
situation) 69 (0.086)
need) 69 (0.086)
world) 67 (0.083)
friend) 64 (0.080)
leader) 64 (0.080)
mother) 61 (0.076)
goal) 61 (0.076)
learn) 60 (0.075)
woman) 57 (0.071)
value) 57 (0.071)
family) 55 (0.068)
smart) 53 (0.066)
lead) 52 (0.065)
responsible) 51 (0.063)
manage) 50 (0.062)
succeed) 47 (0.058)
eye) 46 (0.057)
environment) 45 (0.056)
change) 45 (0.056)
look) 45 (0.056)
achieve) 45 (0.056)
respect) 44 (0.055)
great) 44 (0.055)
stand) 44 (0.055)
try) 43 (0.053)
right) 43 (0.053)
much) 41 (0.051)
contribute) 41 (0.051)
afraid) 41 (0.051)
first) 41 (0.051)
fight) 39 (0.049)
well) 39 (0.049)
sociable) 38 (0.047)
show) 38 (0.047)
end) 38 (0.047)
power) 38 (0.047)
desire) 37 (0.046)
come) 37 (0.046)
high) 37 (0.046)
strive) 37 (0.046)
positive_qualitie) 37 (0.046)
find) 36 (0.045)
live) 36 (0.045)
act) 35 (0.044)
place) 34 (0.042)
happy) 34 (0.042)
seem) 34 (0.042)
optimistic) 34 (0.042)
difficult) 33 (0.041)
say) 33 (0.041)
responsibility) 33 (0.041)
imaginary) 32 (0.040)
professional) 32 (0.040)
understand) 32 (0.040)
charismatic) 32 (0.040)
gurion) 31 (0.039)
seem_positive) 31 (0.039)
girl) 30 (0.037)
trait) 29 (0.036)
book) 29 (0.036)
example) 29 (0.036)
human) 28 (0.035)
connect) 28 (0.035)
support) 28 (0.035)
country) 28 (0.035)
peace) 28 (0.035)
year) 27 (0.034)
continue) 27 (0.034)
heart) 27 (0.034)
story) 27 (0.034)
personal) 27 (0.034)
smile) 26 (0.032)
realistic) 26 (0.032)
really) 26 (0.032)
sweep) 26 (0.032)
humble) 26 (0.032)
commander) 26 (0.032)
describe) 26 (0.032)
problem) 25 (0.031)
never) 25 (0.031)
home) 25 (0.031)
reach) 25 (0.031)
father) 25 (0.031)
society) 25 (0.031)
vision) 25 (0.031)
herzl) 25 (0.031)
hard) 24 (0.030)
kind) 24 (0.030)
task) 24 (0.030)
people_around) 24 (0.030)
able) 24 (0.030)
listen) 24 (0.030)
accept) 23 (0.029)
sensitive) 23 (0.029)
whole) 23 (0.029)
develop) 23 (0.029)
name) 23 (0.029)
honest) 23 (0.029)
successful) 23 (0.029)
dream) 23 (0.029)
addition) 23 (0.029)
creative) 23 (0.029)
write) 23 (0.029)
today) 23 (0.029)
difficulty) 22 (0.027)
ambition) 22 (0.027)
bring) 22 (0.027)
job) 22 (0.027)
state) 22 (0.027)
brother) 21 (0.026)
use) 21 (0.026)
perseverance) 21 (0.026)
hand) 21 (0.026)
close) 21 (0.026)
order) 21 (0.026)
fact) 21 (0.026)
war) 21 (0.026)
action) 21 (0.026)
study) 21 (0.026)
different) 20 (0.025)
teach) 20 (0.025)
aspiration) 20 (0.025)
experience) 20 (0.025)
put) 20 (0.025)
field) 20 (0.025)
company) 20 (0.025)
deal) 20 (0.025)
self) 20 (0.025)
appreciate) 20 (0.025)
amazing) 20 (0.025)
bad) 20 (0.025)
courage) 20 (0.025)
express) 20 (0.025)
side) 20 (0.025)
hear) 20 (0.025)
view) 19 (0.024)
little) 19 (0.024)
day) 19 (0.024)
matter) 19 (0.024)
justice) 19 (0.024)
calm) 19 (0.024)
leadership) 19 (0.024)
bear) 18 (0.022)
head) 18 (0.022)
sacrifice) 18 (0.022)
considerate) 18 (0.022)
soldier) 18 (0.022)
invest) 18 (0.022)
educate) 18 (0.022)
belief) 18 (0.022)
become) 18 (0.022)
wisdom) 18 (0.022)
decision) 18 (0.022)
ambitious) 18 (0.022)
improve) 18 (0.022)
read) 18 (0.022)
funny) 17 (0.021)
tell) 17 (0.021)
save) 17 (0.021)
janusz_korczak) 17 (0.021)
attentive) 17 (0.021)
treat) 17 (0.021)
feel) 17 (0.021)
move) 17 (0.021)
course) 17 (0.021)
grow) 17 (0.021)
success) 16 (0.020)
sister) 16 (0.020)
mistake) 16 (0.020)
optimism) 16 (0.020)
willing) 16 (0.020)
solution) 16 (0.020)
word) 16 (0.020)
death) 16 (0.020)
knowledge) 16 (0.020)
serve) 16 (0.020)
dad) 16 (0.020)
movie) 16 (0.020)
feature) 16 (0.020)
role_model) 16 (0.020)
fall) 16 (0.020)
independent) 15 (0.019)
around) 15 (0.019)
maintain) 15 (0.019)
true) 15 (0.019)
happen) 15 (0.019)
grandfather) 15 (0.019)
leave) 15 (0.019)
wrong) 15 (0.019)
age) 15 (0.019)
follow) 15 (0.019)
influence) 15 (0.019)
receive) 15 (0.019)
old) 15 (0.019)
set) 15 (0.019)
determine) 15 (0.019)
thank) 14 (0.017)
open) 14 (0.017)
motivation) 14 (0.017)
idea) 14 (0.017)
new) 14 (0.017)
black) 14 (0.017)
trust) 14 (0.017)
modest) 14 (0.017)
protect) 14 (0.017)
serious) 14 (0.017)
break) 14 (0.017)
start) 14 (0.017)
impossible) 14 (0.017)
position) 14 (0.017)
brave) 14 (0.017)
face) 14 (0.017)
almost) 14 (0.017)
main) 13 (0.016)
like) 13 (0.016)
king) 13 (0.016)
fulfill) 13 (0.016)
eventually) 13 (0.016)
willpower) 13 (0.016)
guy) 13 (0.016)
intelligent) 13 (0.016)
risk) 13 (0.016)
zionist) 13 (0.016)
principle) 13 (0.016)
part) 13 (0.016)
easily) 13 (0.016)
raise) 13 (0.016)
historical_figure) 13 (0.016)
possible) 13 (0.016)
faith) 12 (0.015)
yet) 12 (0.015)
assertive) 12 (0.015)
generous) 12 (0.015)
necessary) 12 (0.015)
strong_woman) 12 (0.015)
social) 12 (0.015)
moment) 12 (0.015)
meet) 12 (0.015)
film) 12 (0.015)
personality) 12 (0.015)
aware) 12 (0.015)
special) 12 (0.015)
thinking) 12 (0.015)
wife) 12 (0.015)
away) 12 (0.015)
full) 12 (0.015)
kill) 12 (0.015)
pleasant) 12 (0.015)
speak) 12 (0.015)
admire) 12 (0.015)
oppose) 12 (0.015)
role) 12 (0.015)
sharp) 12 (0.015)
political) 12 (0.015)
rich) 12 (0.015)
reason) 12 (0.015)
still) 12 (0.015)
patient) 12 (0.015)
decide) 12 (0.015)
big) 12 (0.015)
talk) 12 (0.015)
perform) 12 (0.015)
keep) 12 (0.015)
ask) 11 (0.014)
admit) 11 (0.014)
huge) 11 (0.014)
build) 11 (0.014)
late) 11 (0.014)
citizen) 11 (0.014)
confidence) 11 (0.014)
result) 11 (0.014)
portray) 11 (0.014)
charisma) 11 (0.014)
school) 11 (0.014)
run) 11 (0.014)
public) 11 (0.014)
far) 11 (0.014)
holocaust) 11 (0.014)
young) 11 (0.014)
various) 11 (0.014)
equal) 11 (0.014)
series) 11 (0.014)
real) 11 (0.014)
inspire) 11 (0.014)
hurt) 11 (0.014)
kindness) 11 (0.014)
extraordinary) 11 (0.014)
volunteer) 11 (0.014)
excellent) 11 (0.014)
mean) 11 (0.014)
fighter) 11 (0.014)
son) 11 (0.014)
identify) 11 (0.014)
future) 11 (0.014)
do) 11 (0.014)
command) 11 (0.014)
purpose) 11 (0.014)
stop) 11 (0.014)
establish) 11 (0.014)
lose) 10 (0.012)
confident) 10 (0.012)
realize) 10 (0.012)
loyalty) 10 (0.012)
base) 10 (0.012)
trouble) 10 (0.012)
ideal) 10 (0.012)
exist) 10 (0.012)
front) 10 (0.012)
one) 10 (0.012)
call) 10 (0.012)
fun) 10 (0.012)
begin) 10 (0.012)
educator) 10 (0.012)
parent) 10 (0.012)
enjoy) 10 (0.012)
create) 10 (0.012)
shimon_pere) 10 (0.012)
step) 10 (0.012)
development) 10 (0.012)
area) 10 (0.012)
military) 10 (0.012)
feeling) 10 (0.012)
battle) 10 (0.012)
back) 10 (0.012)
hope) 10 (0.012)
trustworthy) 10 (0.012)
stay) 10 (0.012)
history) 10 (0.012)
army) 10 (0.012)
helping_other) 10 (0.012)
desire_help) 10 (0.012)
organize) 9 (0.011)
accord) 9 (0.011)
little_prince) 9 (0.011)
criticism) 9 (0.011)
turn) 9 (0.011)
excellence) 9 (0.011)
remember) 9 (0.011)
second) 9 (0.011)
require) 9 (0.011)
choice) 9 (0.011)
attitude) 9 (0.011)
chose_describe) 9 (0.011)
laugh) 9 (0.011)
seek) 9 (0.011)
die) 9 (0.011)
stick) 9 (0.011)
literary) 9 (0.011)
high_school) 9 (0.011)
draw) 9 (0.011)
teacher) 9 (0.011)
simple) 9 (0.011)
aspire) 9 (0.011)
small) 9 (0.011)
consider) 9 (0.011)
challenge) 9 (0.011)
education) 9 (0.011)
famous) 9 (0.011)
determination) 9 (0.011)
seems_positive) 9 (0.011)
menachem_begin) 9 (0.011)
importance) 9 (0.011)
sense_humor) 9 (0.011)
easy) 9 (0.011)
yitzhak_rabin) 9 (0.011)
rest) 9 (0.011)
number) 9 (0.011)
prime_minister) 9 (0.011)
active) 9 (0.011)
especially) 9 (0.011)
weak) 9 (0.011)
respectful) 9 (0.011)
force) 9 (0.011)
last) 9 (0.011)
certain) 9 (0.011)
present) 9 (0.011)
service) 9 (0.011)
opportunity) 9 (0.011)
dedication) 9 (0.011)
student) 8 (0.010)
represent) 8 (0.010)
despite_difficultie) 8 (0.010)
willing_give) 8 (0.010)
quiet) 8 (0.010)
