id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11482036,0,2015,0.000,0.013,0.000,0.000,0.000,0.029,0.103,0.113,0.033,0.000,0.046,0.031,0.000,0.017,0.000,0.000,0.000,0.104,0.130,0.091,0.000,0.039,0.000,0.000,3,1,0.41861,1,3,1,10.0,,,93.0,0,0,87,0.0,
11483624,1,2015,0.000,0.030,0.000,0.000,0.054,0.000,0.093,0.035,0.006,0.000,0.000,0.018,0.000,0.071,0.005,0.000,0.000,0.083,0.040,0.000,0.000,0.011,0.000,0.104,3,1,0.42034,1,3,1,60.0,32.0,,94.0,0,0,90,14.0,
11484512,1,2015,0.000,0.199,0.000,0.000,0.000,0.000,0.063,0.000,0.006,0.000,0.015,0.084,0.000,0.000,0.000,0.130,0.000,0.046,0.000,0.035,0.000,0.000,0.000,0.235,2,1,0.62464,1,3,1,50.0,26.0,,93.0,0,0,80,,
11495303,1,2015,0.000,0.062,0.000,0.087,0.000,0.233,0.051,0.000,0.030,0.000,0.160,0.037,0.000,0.000,0.000,0.142,0.000,0.061,0.000,0.081,0.000,0.000,0.000,0.022,4,1,0.42323,1,3,1,80.0,26.0,5.0,,0,0,84,7.0,
11519970,0,2015,0.000,0.000,0.000,0.190,0.000,0.000,0.037,0.000,0.053,0.000,0.103,0.000,0.000,0.096,0.000,0.000,0.000,0.024,0.000,0.049,0.000,0.205,0.000,0.000,2,1,0.77244,1,3,1,70.0,,,93.0,0,0,81,43.0,
11521799,0,2015,0.000,0.012,0.015,0.000,0.000,0.000,0.121,0.028,0.017,0.000,0.073,0.120,0.000,0.007,0.000,0.000,0.000,0.010,0.181,0.261,0.000,0.010,0.004,0.000,1,1,0.60234,1,3,1,40.0,,,94.0,0,0,86,91.0,
11557901,0,2015,0.000,0.000,0.000,0.050,0.000,0.000,0.050,0.000,0.000,0.122,0.208,0.005,0.000,0.000,0.160,0.196,0.000,0.000,0.000,0.120,0.000,0.000,0.000,0.013,4,1,0.44896,1,3,1,80.0,,,93.0,0,0,82,23.0,
11562218,1,2015,0.000,0.000,0.000,0.000,0.036,0.000,0.130,0.000,0.012,0.000,0.070,0.128,0.000,0.002,0.008,0.060,0.000,0.115,0.116,0.005,0.000,0.000,0.000,0.186,2,1,0.49805,1,3,1,70.0,25.0,,92.0,0,0,73,4.0,
11567348,0,2015,0.000,0.248,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.108,0.000,0.000,0.000,0.071,0.012,0.000,0.086,0.014,0.054,0.000,0.028,0.000,0.020,3,1,0.64952,1,3,1,90.0,,,93.0,0,0,78,50.0,
11576177,1,2015,0.000,0.000,0.043,0.050,0.000,0.105,0.099,0.000,0.000,0.000,0.243,0.033,0.344,0.000,0.000,0.000,0.000,0.018,0.003,0.049,0.000,0.000,0.000,0.404,2,1,0.64538,1,3,1,60.0,23.0,,93.0,0,0,84,0.0,
11576934,1,2015,0.000,0.000,0.000,0.028,0.000,0.000,0.053,0.000,0.038,0.000,0.094,0.024,0.000,0.000,0.000,0.130,0.000,0.132,0.000,0.052,0.021,0.000,0.000,0.000,1,1,0.75812,1,3,1,70.0,22.0,,92.0,0,0,80,9.0,
11577163,1,2015,0.000,0.000,0.000,0.000,0.000,0.027,0.009,0.000,0.000,0.000,0.004,0.022,0.000,0.053,0.014,0.000,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.194,3,1,0.52855,1,3,1,80.0,28.0,,93.0,0,0,81,8.0,
11584980,1,2015,0.000,0.717,0.000,0.000,0.000,0.094,0.039,0.000,0.000,0.162,0.090,0.056,0.000,0.000,0.000,0.000,0.000,0.080,0.238,0.147,0.000,0.000,0.000,0.000,3,1,0.47588,1,3,1,70.0,25.0,,94.0,0,0,81,,
11589674,1,2015,0.175,0.000,0.000,0.000,0.000,0.009,0.159,0.016,0.000,0.000,0.067,0.026,0.086,0.068,0.000,0.000,0.000,0.008,0.000,0.183,0.000,0.000,0.000,0.108,1,1,0.74520,1,3,1,80.0,23.0,5.0,,0,0,80,36.0,
11595300,1,2015,0.000,0.013,0.000,0.038,0.000,0.000,0.012,0.000,0.000,0.000,0.009,0.056,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.008,0.000,0.000,0.000,0.000,6,1,0.32701,1,3,1,60.0,23.0,,93.0,0,0,82,5.0,
11595436,0,2015,0.095,0.000,0.000,0.112,0.000,0.000,0.097,0.000,0.030,0.143,0.366,0.033,0.000,0.000,0.025,0.000,0.000,0.031,0.118,0.296,0.000,0.000,0.000,0.000,2,1,0.54053,1,3,1,70.0,,,94.0,0,0,86,,
11597681,0,2015,0.000,0.000,0.000,0.087,0.000,0.094,0.055,0.000,0.077,0.000,0.371,0.110,0.092,0.007,0.000,0.198,0.000,0.058,0.000,0.101,0.271,0.063,0.263,0.009,3,1,0.38595,1,3,1,90.0,,,93.0,0,0,87,,
11600851,1,2015,0.000,0.000,0.028,0.000,0.000,0.103,0.008,0.000,0.056,0.000,0.189,0.009,0.034,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,2,1,0.81543,1,3,1,60.0,26.0,,93.0,0,0,80,11.0,
11601309,1,2015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.082,0.049,0.026,0.011,0.058,0.098,0.000,0.607,0.000,0.009,0.181,0.013,0.000,0.000,0.000,0.000,2,1,0.66143,1,3,1,90.0,27.0,,93.0,0,0,71,0.0,
