id,sex,year,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,A10,A30,MAX,KKZ,KKZT,Officer,DAPAR,TZADAK,MAVDAK1,MAVDAK2,REJECTED,EXCEL,GRADE,SOCIO_TIRONUT,SOCIO_PIKUD
11531836,1,2015,0,13,12,0,6,7,0,10,11,0,0,9,14,8,0,5,1,0.31455,1,1,1,70.0,25.0,7.0,,0,0,73,9.0,56.0
11556347,1,2015,0,7,11,0,8,13,0,0,9,0,14,0,12,0,10,4,1,0.41176,1,1,1,80.0,34.0,,94.0,0,1,87,5.0,
11587558,1,2015,0,0,14,0,13,12,0,9,11,0,0,0,10,0,0,4,2,0.33349,1,1,1,70.0,26.0,6.0,,0,0,86,0.0,20.0
11781920,1,2015,0,0,11,14,13,10,0,9,0,0,0,0,12,0,0,3,1,0.67234,1,1,1,50.0,32.0,6.0,,0,0,83,,82.0
11783220,1,2015,9,9,0,0,14,13,11,0,0,0,0,0,12,0,0,2,1,0.59292,1,1,1,40.0,22.0,3.0,,0,0,72,18.0,7.0
11783427,1,2015,5,6,7,0,11,8,12,0,0,10,0,14,13,9,0,3,1,0.44169,1,1,1,60.0,30.0,4.0,,0,0,90,44.0,87.0
11783744,1,2015,0,0,14,0,10,13,12,0,0,0,0,0,11,0,0,3,1,0.55377,1,1,1,70.0,34.0,5.0,,0,0,81,60.0,50.0
11783776,1,2015,0,0,0,0,11,12,0,0,0,14,0,0,0,0,13,3,1,0.67409,1,1,1,70.0,27.0,6.0,,0,0,89,29.0,87.0
11783844,1,2015,7,0,13,0,12,8,11,6,10,0,0,9,14,0,0,2,2,0.39117,1,1,1,70.0,30.0,4.0,,0,0,91,89.0,30.0
11784651,1,2015,0,14,12,0,10,13,7,0,8,9,0,0,11,0,0,3,1,0.42502,1,1,1,60.0,27.0,5.0,,0,0,69,67.0,20.0
11785198,1,2015,0,14,11,0,0,6,7,12,0,0,9,10,13,8,0,2,1,0.46420,1,1,1,60.0,33.0,5.0,,0,0,83,4.0,
11786185,1,2015,0,9,11,0,0,13,0,9,12,0,0,0,14,0,0,2,2,0.55274,1,1,1,60.0,32.0,,94.0,0,0,81,,
11788051,1,2015,0,9,11,0,7,13,12,0,0,10,0,0,8,14,0,3,2,0.46669,1,1,1,60.0,28.0,2.0,,0,0,80,50.0,31.0
11788407,1,2015,0,12,0,0,14,11,10,0,0,0,0,0,0,0,13,3,1,0.70666,1,1,1,60.0,34.0,5.0,,0,0,85,26.0,50.0
11788886,1,2015,0,9,10,0,12,11,0,13,0,0,0,0,14,0,0,3,2,0.43961,1,1,1,70.0,32.0,4.0,,0,0,76,43.0,31.0
11788958,1,2015,0,10,12,8,11,14,0,0,9,13,0,0,7,0,0,5,0,0.22084,1,1,0,80.0,28.0,3.0,,0,0,0,84.0,25.0
11789566,1,2015,0,0,8,11,8,14,0,0,0,7,10,0,12,13,0,3,1,0.34732,1,1,1,60.0,35.0,5.0,,0,0,85,28.0,50.0
11789585,1,2015,0,6,14,0,7,7,0,0,12,10,9,0,11,13,0,2,1,0.60210,1,1,1,60.0,31.0,6.0,,0,0,85,39.0,82.0
11789587,1,2015,0,0,12,0,10,14,0,0,0,0,0,0,11,13,0,2,1,0.51667,1,1,1,60.0,26.0,4.0,,0,0,86,78.0,95.0
11789905,1,2015,0,8,11,0,10,9,0,12,13,0,0,0,14,0,0,1,1,0.82743,1,1,1,70.0,27.0,4.0,,0,0,82,,35.0
11789906,1,2015,6,11,7,0,5,13,0,8,0,10,9,0,12,14,0,2,1,0.42215,1,1,1,60.0,35.0,6.0,,0,0,74,32.0,59.0
11789919,1,2015,0,14,7,9,8,11,0,0,0,13,10,0,12,0,0,1,1,0.58266,1,1,1,60.0,33.0,6.0,,0,0,89,50.0,
11789922,1,2015,0,10,0,0,12,13,8,11,0,0,14,9,7,0,0,3,1,0.36621,1,1,1,90.0,35.0,8.0,,0,0,88,25.0,68.0
11789924,1,2015,0,7,14,0,10,13,0,12,0,0,7,0,11,9,0,3,1,0.49992,1,1,1,70.0,33.0,5.0,,0,0,87,,43.0
