Size: 1673
know) 347 (0.207)
choose) 280 (0.167)
quality) 266 (0.159)
leader) 196 (0.117)
thing) 185 (0.111)
care) 183 (0.109)
great) 181 (0.108)
value) 179 (0.107)
other) 174 (0.104)
give) 164 (0.098)
want) 152 (0.091)
figure) 151 (0.090)
believe) 150 (0.090)
time) 145 (0.087)
go) 142 (0.085)
country) 141 (0.084)
take) 137 (0.082)
trait) 135 (0.081)
commander) 133 (0.079)
love) 130 (0.078)
soldier) 130 (0.078)
well) 120 (0.072)
come) 119 (0.071)
learn) 118 (0.071)
friend) 117 (0.070)
strong) 114 (0.068)
ability) 112 (0.067)
humble) 109 (0.065)
many) 108 (0.065)
lead) 107 (0.064)
make) 107 (0.064)
family) 105 (0.063)
fight) 101 (0.060)
get) 101 (0.060)
try) 97 (0.058)
need) 97 (0.058)
help) 94 (0.056)
change) 88 (0.053)
look) 86 (0.051)
charismatic) 84 (0.050)
see) 83 (0.050)
seem) 82 (0.049)
strive) 80 (0.048)
child) 80 (0.048)
think) 79 (0.047)
say) 79 (0.047)
show) 78 (0.047)
end) 75 (0.045)
afraid) 75 (0.045)
high) 75 (0.045)
responsible) 74 (0.044)
much) 74 (0.044)
work) 72 (0.043)
situation) 72 (0.043)
live) 72 (0.043)
goal) 69 (0.041)
contribute) 68 (0.041)
desire) 67 (0.040)
right) 67 (0.040)
world) 66 (0.039)
addition) 66 (0.039)
war) 66 (0.039)
respect) 66 (0.039)
act) 65 (0.039)
first) 64 (0.038)
eye) 64 (0.038)
place) 63 (0.038)
succeed) 63 (0.038)
manage) 63 (0.038)
professional) 62 (0.037)
courage) 62 (0.037)
book) 62 (0.037)
smart) 62 (0.037)
gurion) 60 (0.036)
stand) 60 (0.036)
really) 60 (0.036)
state) 58 (0.035)
difficult) 57 (0.034)
grandfather) 57 (0.034)
hard) 56 (0.033)
understand) 56 (0.033)
personal) 55 (0.033)
responsibility) 55 (0.033)
example) 55 (0.033)
leadership) 55 (0.033)
smile) 54 (0.032)
menachem_begin) 52 (0.031)
brave) 52 (0.031)
influence) 52 (0.031)
educate) 52 (0.031)
story) 51 (0.030)
year) 51 (0.030)
invest) 51 (0.030)
power) 50 (0.030)
find) 50 (0.030)
set) 50 (0.030)
warrior) 50 (0.030)
army) 49 (0.029)
good) 49 (0.029)
put) 49 (0.029)
reach) 49 (0.029)
vision) 49 (0.029)
happy) 48 (0.029)
achieve) 48 (0.029)
talk) 48 (0.029)
decision) 48 (0.029)
