id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,Officer, DAPAR, TZADAK, MAVDAK1, MAVDAK2, REJECTED, EXCEL, GRADE, SOCIO_TIRONUT, SOCIO_PIKUD
11679526,0.20269,0.16515,0.00530,0.00453,0.00395,0.00351,0.53701,0.00286,0.00262,0.00242,0.06233,0.00209,0.00196,0.00184,0.00174,1,60.0,26.0,,93.0,0,0,75.0,0.0,
11679551,0.01020,0.28944,0.07861,0.00573,0.00501,0.00444,0.00399,0.00362,0.00332,0.13643,0.44954,0.00265,0.00248,0.00234,0.00220,1,60.0,24.0,,92.0,0,0,74.0,,
11786800,0.25793,0.30447,0.01007,0.27361,0.00751,0.00666,0.10598,0.00544,0.00498,0.00459,0.00426,0.00397,0.00372,0.00350,0.00331,1,60.0,25.0,4.0,,0,0,77.0,16.0,19.0
11788493,0.28980,0.20830,0.00559,0.00478,0.29907,0.00370,0.05887,0.11414,0.00277,0.00255,0.00237,0.00221,0.00207,0.00195,0.00184,1,70.0,34.0,6.0,,0,0,81.0,92.0,59.0
11789026,0.39240,0.00639,0.00530,0.00453,0.49645,0.00351,0.07365,0.00286,0.00262,0.00242,0.00224,0.00209,0.00196,0.00184,0.00174,1,60.0,33.0,4.0,,0,0,80.0,,
11789799,0.51861,0.00760,0.00629,0.00538,0.00469,0.00416,0.00374,0.00340,0.00311,0.00287,0.13707,0.00248,0.29634,0.00219,0.00207,1,60.0,33.0,5.0,,0,0,78.0,43.0,
11842960,0.18296,0.32594,0.00458,0.05541,0.00341,0.04849,0.00272,0.00247,0.00226,0.00209,0.36307,0.00181,0.00169,0.00159,0.00150,1,70.0,28.0,5.0,,0,0,78.0,47.0,
11843726,0.00960,0.43665,0.00629,0.08414,0.00469,0.00416,0.00374,0.00340,0.00311,0.00287,0.16151,0.08567,0.00233,0.00219,0.18965,0,60.0,,3.0,,0,0,,18.0,
11844279,0.93945,0.00868,0.00719,0.00614,0.00536,0.00476,0.00428,0.00388,0.00356,0.00328,0.00304,0.00284,0.00266,0.00250,0.00236,1,60.0,,6.0,,0,0,75.0,,9.0
11844334,0.08603,0.79889,0.00671,0.00574,0.00501,0.00444,0.07066,0.00363,0.00332,0.00306,0.00284,0.00265,0.00248,0.00234,0.00221,1,50.0,,5.0,,0,0,85.0,70.0,78.0
