id,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,Officer, DAPAR, TZADAK, MAVDAK1, MAVDAK2, REJECTED, EXCEL, GRADE, SOCIO_TIRONUT, SOCIO_PIKUD
11571929,0.11127,0.80244,0.00503,0.00430,0.00376,0.00333,0.00299,0.00272,0.00249,0.00230,0.05211,0.00199,0.00186,0.00175,0.00165,0,80.0,21.0,,93.0,0,0,,3.0,
11587879,0.29633,0.23235,0.05244,0.00410,0.34502,0.00317,0.00285,0.00259,0.00237,0.00219,0.00203,0.00189,0.00177,0.04931,0.00158,0,90.0,31.0,,94.0,0,0,,7.0,
11605717,0.37520,0.53396,0.05792,0.00453,0.00395,0.00351,0.00315,0.00286,0.00262,0.00242,0.00224,0.00209,0.00196,0.00184,0.00174,0,30.0,25.0,,93.0,0,0,,0.0,
11673049,0.55778,0.05943,0.00360,0.03880,0.00268,0.00238,0.00214,0.00194,0.25157,0.03737,0.03713,0.00142,0.00133,0.00125,0.00118,0,70.0,,,94.0,0,0,,0.0,
11676721,0.12045,0.17821,0.00479,0.00410,0.00358,0.09842,0.00285,0.00259,0.00237,0.00219,0.00203,0.04952,0.52567,0.00167,0.00158,0,70.0,25.0,,94.0,0,0,,,
11678446,0.37238,0.53356,0.00479,0.00410,0.00358,0.00317,0.00285,0.00259,0.00237,0.00219,0.00203,0.06138,0.00177,0.00167,0.00158,0,80.0,,,94.0,0,0,,,
11679632,0.20102,0.54734,0.00839,0.00717,0.00626,0.00555,0.00499,0.00453,0.00415,0.19494,0.00355,0.00331,0.00310,0.00292,0.00276,0,60.0,25.0,,,1,0,,31.0,
11782088,0.28582,0.22805,0.00373,0.12985,0.00278,0.00247,0.00222,0.00202,0.00185,0.29721,0.00158,0.00147,0.00138,0.00130,0.03826,0,90.0,33.0,,93.0,0,0,,19.0,
11783106,0.09707,0.16253,0.52395,0.00344,0.15444,0.00267,0.00240,0.00218,0.00199,0.00184,0.00170,0.00159,0.00149,0.00140,0.04132,0,90.0,26.0,,93.0,0,0,,,
11783171,0.00665,0.69455,0.04786,0.09070,0.09657,0.00290,0.04609,0.00236,0.00216,0.00200,0.00185,0.00173,0.00162,0.00152,0.00144,0,80.0,29.0,,94.0,0,0,,22.0,
11783692,0.79980,0.08511,0.07339,0.00573,0.00501,0.00444,0.00399,0.00363,0.00332,0.00306,0.00284,0.00265,0.00248,0.00234,0.00221,0,90.0,24.0,,,1,0,,6.0,
11784016,0.06880,0.30937,0.00438,0.04879,0.15596,0.35192,0.00260,0.00236,0.00216,0.00200,0.00185,0.00173,0.00162,0.04502,0.00144,0,70.0,32.0,2.0,,0,0,,3.0,
11785168,0.01029,0.52458,0.00671,0.00573,0.00500,0.08771,0.00399,0.00362,0.00332,0.33653,0.00284,0.00265,0.00248,0.00234,0.00220,0,60.0,,,93.0,0,0,,73.0,
11785293,0.22537,0.30747,0.00419,0.00358,0.04710,0.35404,0.00250,0.00227,0.00208,0.00191,0.00178,0.00166,0.00155,0.00146,0.04306,0,60.0,26.0,4.0,,0,0,,,
11786118,0.71521,0.01214,0.01007,0.20864,0.00751,0.00666,0.00599,0.00544,0.00498,0.00459,0.00426,0.00397,0.00372,0.00350,0.00331,0,70.0,,,93.0,0,0,,29.0,
11786597,0.69603,0.10709,0.00719,0.00614,0.00536,0.07661,0.00428,0.00388,0.00356,0.00328,0.00304,0.07600,0.00266,0.00250,0.00236,0,50.0,25.0,4.0,,0,0,,0.0,
11787022,0.36924,0.16491,0.13761,0.01075,0.00939,0.00833,0.00748,0.00680,0.00622,0.00574,0.00533,0.00497,0.00466,0.00438,0.25421,0,60.0,33.0,,93.0,0,0,,38.0,
11787463,0.15641,0.09939,0.00593,0.00507,0.05919,0.00392,0.06242,0.00320,0.06181,0.00270,0.00251,0.00234,0.00219,0.00206,0.53085,0,40.0,28.0,3.0,,0,0,,72.0,65.0
11787831,0.89333,0.07978,0.00373,0.00319,0.00278,0.00247,0.00222,0.00201,0.00184,0.00170,0.00158,0.00147,0.00138,0.00130,0.00123,0,90.0,,,92.0,0,0,,13.0,
11788668,0.43149,0.20507,0.00774,0.31420,0.00578,0.00513,0.00461,0.00418,0.00383,0.00353,0.00328,0.00306,0.00287,0.00270,0.00254,0,60.0,33.0,4.0,,0,0,,15.0,0.0
11788841,0.22193,0.53008,0.00438,0.17658,0.00327,0.00290,0.00261,0.00237,0.00217,0.04554,0.00186,0.00173,0.00162,0.00153,0.00144,0,60.0,29.0,,93.0,0,0,,27.0,
11789575,0.82185,0.00759,0.00629,0.00538,0.00469,0.06684,0.00374,0.06590,0.00311,0.00287,0.00266,0.00248,0.00233,0.00219,0.00207,0,50.0,31.0,,,1,0,,,42.0
11789901,0.19166,0.07220,0.00671,0.00573,0.00501,0.00444,0.00399,0.00362,0.00332,0.00306,0.00284,0.69039,0.00248,0.00234,0.00220,0,60.0,35.0,5.0,,0,0,,47.0,46.0
11789903,0.19892,0.30508,0.00629,0.00538,0.39278,0.00416,0.00374,0.00340,0.00311,0.00287,0.06520,0.00248,0.00233,0.00219,0.00207,0,60.0,33.0,2.0,,0,0,,,0.0
11789934,0.57318,0.01349,0.01118,0.00956,0.00834,0.00740,0.00665,0.11714,0.00553,0.00510,0.00473,0.22597,0.00414,0.00389,0.00368,0,60.0,28.0,4.0,,0,0,,,14.0
11790069,0.00809,0.95369,0.00530,0.00453,0.00395,0.00351,0.00315,0.00286,0.00262,0.00242,0.00224,0.00209,0.00196,0.00184,0.00174,0,80.0,31.0,,,1,0,,,18.0
11843068,0.45556,0.17488,0.00559,0.06034,0.00417,0.22180,0.00333,0.00302,0.00277,0.00255,0.00237,0.00221,0.05763,0.00195,0.00184,0,60.0,31.0,5.0,,0,0,,20.0,
11843163,0.89404,0.01520,0.01258,0.01075,0.00939,0.00833,0.00749,0.00680,0.00622,0.00574,0.00533,0.00497,0.00466,0.00438,0.00413,0,50.0,25.0,3.0,,0,0,,5.0,7.0
